TmID;Name;Country;Foundation;NumTrophies;Street;StreetNumber;ZipCode;City
1;1.FC Saarbrücken;Germany;1903-04-18;5;Berliner Promenade;12;66111;Saarbrücken
2;1.FC Kaiserslautern;Germany;1900-06-02;42;Fritz-Walter-Straße;1;67663;Kaiserslautern
3;1. FC Köln;Germany;1948-02-13;39;Franz-Kremer-Allee;1-3;50937;Köln
4;1.FC Nuremberg;Germany;1900-05-04;27;Valznerweiherstraße;200;90480;Nürnberg
5;AC Milan;Italy;1899-12-16;3;Via Aldo Rossi;8;20149;Milano
8;Alemannia Aachen;Germany;1900-12-16;4;Krefelder Straße;205;52070;Aachen
10;Arminia Bielefeld;Germany;1905-05-03;16;Melanchtonstraße;31a;33615;Bielefeld
11;Arsenal FC;England;1886-12-01;16;Highbury House, 75 Drayton;Park;N5;1BU
12;AS Roma;Italy;1927-06-07;0;Via di Trigoria Km;3600;00128;Roma
13;Atlético Madrid;Spain;1903-04-26;0;Paseo Virgen del Puerto;67;28005;Madrid
14;Austria Vienna;Austria;1911-03-15;0;Horrplatz;1;1100;Wien
15;Bayer 04 Leverkusen;Germany;1904-07-01;29;Bismarckstraße;122-124;51373;Leverkusen
16;Borussia Dortmund;Germany;1909-12-19;42;Rheinlanddamm;207-209;44137;Dortmund
18;Borussia Mönchengladbach;Germany;1900-08-01;40;Hennes-Weisweiler-Allee;1;41179;Mönchengladbach
20;Bursaspor;Turkey;1963-06-01;0;İzmir Yolu 4. Km. Özlüce;Kavşağı;16110;Nilüfer/BURSA
21;Chemnitzer FC;Germany;1966-01-15;0;Gellertstraße;25;09130;Chemnitz
22;Derby County;England;1884-02-05;7;Pride Park;Stadium;DE24;8XL
23;Eintracht Braunschweig;Germany;1895-12-15;20;Hamburger Straße;210;38112;Braunschweig
24;Eintracht Frankfurt;Germany;1899-03-08;40;Mörfelder Landstraße;362;60528;Frankfurt
25;FC Energie Cottbus;Germany;1966-01-31;5;Am Eliaspark;1;03042;Cottbus
26;FC Basel 1893;Switzerland;1893-11-15;0;Birsstrasse;320A;4020;Basel
27;Bayern Munich;Germany;1900-02-27;44;Säbener Straße;51-57;81547;München
29;Everton FC;England;1878-06-01;16;Goodison;Park;L4;4EL
30;FC Hansa Rostock;Germany;1965-12-28;12;Kopernikusstraße;17c;18057;Rostock
31;Liverpool FC;England;1892-03-15;17;Anfield;Road;L4;OTH
33;FC Schalke 04;Germany;1904-05-04;40;Ernst-Kuzorra-Weg;1;45891;Gelsenkirchen
35;FC St. Pauli;Germany;1910-05-15;7;Harald-Stender-Platz;1;20359;Hamburg
36;Fenerbahce SK;Turkey;1907-05-03;0;Recep Peker Caddesi;1;34040;Kızıltoprak,
38;Fortuna Düsseldorf;Germany;1895-05-05;22;Flinger Broich;87;40235;Düsseldorf
39;1.FSV Mainz 05;Germany;1905-03-16;3;Isaac-Fulda-Allee;5;55124;Mainz
40;FC Girondins Bordeaux;France;1881-10-01;0;rue Joliot;Curie;33187;Le
41;Hamburger SV;Germany;1887-09-29;45;Sylvesterallee;7;22525;Hamburg
42;Hannover 96;Germany;1896-04-12;20;Robert-Enke-Straße;1;30169;Hannover
43;Heart of Midlothian FC;Scotland;1874-01-01;0;McLeod;Street;EH11;2NL
44;Hertha BSC;Germany;1892-07-25;27;Hanns-Braun-Straße, Friesenhaus;2;14053;Berlin
46;Inter Milan;Italy;1908-03-09;0;Corso Vittorio Emanuele II,;9;20122;Milano
48;Karlsruher SC;Germany;1894-06-06;23;Adenauerring;17;76131;Karlsruhe
52;MSV Duisburg;Germany;1902-09-17;28;Margaretenstraße;5-7;47055;Duisburg
56;Rot-Weiss Essen;Germany;1907-02-01;7;Hafenstraße;97a;45356;Essen
57;Rot-Weiß Oberhausen;Germany;1904-12-18;4;Lindnerstraße;78;46149;Oberhausen
58;RSC Anderlecht;Belgium;1908-05-27;0;Théo Verbeecklaan;2;1070;Anderlecht
60;SC Freiburg;Germany;1904-05-30;10;Schwarzwaldstraße;193;79117;Freiburg
61;Servette FC;Switzerland;1890-03-20;0;Route des Jeunes;16;1227;Carouge
62;SK Slavia Prague;Czech Republic;1892-11-02;0;U Slavie;1540/2a;100;00
65;SpVgg Greuther Fürth;Germany;1903-09-23;0;Laubenweg;60;90765;Fürth
66;SpVgg Unterhaching;Germany;1925-01-01;2;Am Sportpark;9;82008;Unterhaching
69;SSV Ulm 1846;Germany;1970-05-05;1;Stadionstraße;17;89073;Ulm
71;Stuttgarter Kickers;Germany;1899-09-21;2;Königssträßle;56;70597;Stuttgart
72;TSV 1860 Munich;Germany;1860-05-17;20;Grünwalder Straße;114;81547;München
76;Vålerenga Fotball;Norway;1913-07-29;0;Ullevaal;Stadion;0805;Oslo
77;Vardar Skopje;North Macedonia;1947-07-22;0;Bulevar Ilinden;b.b;1000;Skopje
79;VfB Stuttgart;Germany;1893-09-09;43;Mercedesstraße;109;70372;Stuttgart
80;VfL Bochum;Germany;1848-07-26;32;Castroper Straße;145;44791;Bochum
82;VfL Wolfsburg;Germany;1945-09-12;11;In den Allerwiesen;1;38446;Wolfsburg
84;Debreceni VSC;Hungary;1902-03-12;0;Oláh Gábor utca;5.;4028;Debrecen
85;SV Waldhof Mannheim;Germany;1907-04-11;7;Alsenweg;Alsenweg;68305;Mannheim
86;SV Werder Bremen;Germany;1899-02-04;44;Franz-Böhmert-Straße;1c;28205;Bremen
88;Widzew Lodz;Poland;1910-11-25;0;Aleja Marszałka Piłsudskiego;138;92-230;Łódź
89;1.FC Union Berlin;Germany;1966-01-20;0;An der Wuhlheide;263;12555;Berlin
91;Preußen Münster;Germany;1906-04-30;1;Fiffi-Gerritzen-Weg;1;48153;Münster
92;SC Fortuna Köln;Germany;1948-02-21;1;Am Vorgebirgstor;2;50969;Köln
94;FC Erzgebirge Aue;Germany;1946-03-04;0;Lößnitzer Straße;95;08280;Aue
95;KFC Uerdingen 05;Germany;1905-11-17;14;Dießemer Bruch 100;A;47805;Krefeld
97;SG Wattenscheid 09;Germany;1909-09-18;4;Lohrheidestraße;82;44866;Bochum
99;FC Sachsen Leipzig;Germany;1990-08-01;0;;;;
101;Tennis Borussia Berlin;Germany;1902-04-09;2;Waldschulallee;34-42;14055;Berlin
105;SV Darmstadt 98;Germany;1898-05-22;2;Nieder-Ramstädter-Straße;170;64285;Darmstadt
107;Kickers Offenbach;Germany;1901-05-27;7;Waldemar-Klein-Platz;1;63071;Offenbach
113;FC Carl Zeiss Jena;Germany;1903-05-13;0;Roland-Ducke-Weg;1;07745;Jena
114;Besiktas JK;Turkey;1903-03-19;0;Süleyman Seba Caddesi, No. 48;;34357;Akaretler,
116;FC Aarau;Switzerland;1902-05-26;0;Brügglifeldweg;17;5000;Aarau
119;Maccabi Tel Aviv;Israel;1906-01-01;0;37 She'erit;Israel;6816522;Tel-Aviv
122;SK Sturm Graz;Austria;1909-05-01;0;Sternäckerweg;118;8042;Graz
124;Rangers FC;Scotland;1872-03-01;0;Ibrox;Stadium;G51;2XD
127;SC Paderborn 07;Germany;1985-06-01;0;Paderborner Straße;89;33102;Paderborn
129;SG Dynamo Dresden;Germany;1953-04-12;4;Lennéstraße;12;01069;Dresden
130;Parma Calcio 1913;Italy;1913-07-27;0;Viale Partigiani d'Italia;1;43123;Parma
131;FC Barcelona;Spain;1899-11-29;1;Avinguda Arístides Maillol;;08028;Barcelona
141;Galatasaray SK;Turkey;1905-10-20;0;Huzur;Mahallesi;34415;Seyrantepe
148;Tottenham Hotspur;England;1882-09-05;16;Bill Nicholson Way, 748 High;Road;N17;0AP
150;Real Betis Balompié;Spain;1907-09-12;0;Avenida;Heliópolis;41012;Sevilla
156;Levski Sofia;Bulgaria;1914-05-24;0;Todorini kukli;47;1517;Sofia
157;KAA Gent;Belgium;1898-01-01;0;Ottergemsesteenweg Zuid,;808;9000;Gent
159;Red Star Belgrade;Serbia;1945-03-04;0;Ljutice Bogdana;1a;11000;Belgrad
162;AS Monaco;Monaco;1924-08-23;0;7 avenue des;Castelans;98000;Monaco
164;Blackburn Rovers;England;1875-11-05;14;Ewood;Park;BB2;4JF
167;FC Augsburg;Germany;1907-08-08;0;Bürgermeister-Ulrich-Straße;90;86199;Augsburg
168;Zaglebie Lubin;Poland;1945-09-10;0;Marii Skłodowskiej-Curie;98;59-301;Lubin
170;Rapid Vienna;Austria;1899-01-08;0;Gerhard-Hanappi-Platz;1;1140;Wien
173;Odense Boldklub;Denmark;1887-07-12;0;Ørbækvej;350;5220;Odense
175;FK Lyn;Norway;1896-03-03;0;Ullevaal;Stadion;N-0805;Oslo
180;Southampton FC;England;1885-11-21;13;Britannia;Road;SO14;5FP
187;1.FC Magdeburg;Germany;1965-12-22;0;Friedrich-Ebert-Straße;62;39114;Magdeburg
190;FC Copenhagen;Denmark;1992-07-01;0;Per Henrik Lings Allé;2;2100;København
192;Roda JC Kerkrade;Netherlands;1962-06-27;0;Roda JC Ring;1;6466;NH
195;Rosenborg BK;Norway;1917-05-19;0;Klæbuveien;125;7492;Trondheim
197;AC Sparta Praha;Czech Republic;1893-11-16;0;Milady Horákové;1066/98;170;82
200;FC Utrecht;Netherlands;1970-07-01;0;Herculesplein;241;3584;AA
204;Lierse SK;Belgium;1906-03-06;0;Lispersteenweg;237;2500;Lier
206;Bröndby IF;Denmark;1964-12-03;0;Brøndby Stadion;30;2605;Brøndby
208;CSKA Sofia;Bulgaria;1948-05-05;0;Dragan Cankov;3;1164;Sofia
222;BFC Dynamo;Germany;1966-01-15;0;Sportforum;Steffenstraße;13053;Berlin
232;Spartak Moscow;Russia;1922-04-18;0;Volokolamskoe shosse,;69/2;125424;Moskau
234;Feyenoord Rotterdam;Netherlands;1908-07-19;0;Van Zandvlietplein;1;3077;AA
237;RCD Mallorca;Spain;1916-03-05;0;Camí dels;Reis;07011;Palma
238;Lech Poznan;Poland;1922-03-19;0;ul. Bułgarska;17;60-320;Poznań
239;Viking Stavanger;Norway;1899-08-10;0;Jåttåvågveien;11A;4020;Stavanger
244;Olympique Marseille;France;1899-08-31;1;33 traverse de la;Martine;13425;Marseille
255;Legia Warszawa;Poland;1916-03-10;0;Lazienkowska;3;00-449;Warszawa
256;LKS Lodz;Poland;1908-01-01;0;Aleja Unii Lubelskiej;2;94-020;Łódź
260;FC Zürich;Switzerland;1896-08-01;0;Werdstrasse;21;8004;Zürich
265;Panathinaikos Athens;Greece;1908-02-03;0;Irodou Attikou;12A;15124;Athen
267;IK Start;Norway;1905-07-19;0;Stadionveien;21;4632;Kristiansand
272;AIK;Sweden;1891-02-15;0;;;;
276;Hellas Verona;Italy;1903-09-30;0; Via Torricelli;37;37136;Verona
279;Ferencvárosi TC;Hungary;1899-05-03;0;Üllöi út;129;1091;Budapest
281;Manchester City;England;1880-01-01;11;Etihad Stadium, Etihad;Campus;M11;3FF
282;FK Sarajevo;Bosnia-Herzegovina;1946-10-24;0;Maršala Tita;38/b;71000;Sarajevo
289;Sunderland AFC;England;1879-10-01;7;Stadium of;Light;SR5;1SU
290;AJ Auxerre;France;1905-12-29;0;Route de;Vaux;89006;Auxerre
294;SL Benfica;Portugal;1904-02-28;0;Avenida General Norton de Matos;1500;1501-805;Lisboa
299;Wuppertaler SV;Germany;1954-07-08;3;Hubertusallee;4;42117;Wuppertal
301;FCSB;Romania;1947-06-07;0;Șoseaua București-Târgoviște 217;E;789161;Mogoșoaia
306;SC Heerenveen;Netherlands;1920-07-20;0;Abe Lenstra Boulevard;19;8448;JA
312;Dinamo Bukarest;Romania;1948-05-14;0;Șoseaua Ștefan cel Mare, nr. 7-9,;sector;020121;Bucuresti
317;Twente Enschede FC;Netherlands;1965-07-01;0;Colosseum;65;7521;PP
318;Ruch Chorzow;Poland;1920-04-20;0;ul. Cicha;6;41-506;Chorzów
321;FC Sion;Switzerland;1909-07-01;0;Case postale;32;1921;Martigny-Croix
328;Borussia Neunkirchen;Germany;1905-07-24;3;Mantes-la-Ville-Platz;12;66538;Neunkirchen
329;Sliema Wanderers;Malta;1908-11-30;0;Tower Road;21;1602;Sliema
336;Sporting CP;Portugal;1906-07-01;0;Rua Prof. Fernando da Fonseca Apartado;4;1601-801;Lisboa
337;Birmingham City;England;1875-01-01;5;Redhill;Road;B38;9EJ
338;Dynamo Kyiv;Ukraine;1927-05-13;0;vul. Grushevskogo;3;01001;Kyiv
339;Dnipro Dnipropetrovsk;Ukraine;1917-11-30;0;Pionerskiy lane,;12;49000;Dnipropetrovsk
349;Barnsley FC;England;1887-01-01;1;Oakwell;Stadium;S71;1ET
350;Sheffield United;England;1889-01-01;3;Bramall;Lane;S2;4SU
352;Swindon Town;England;1881-01-01;1;County;Road;SN1;2ED
353;Lillestrøm SK;Norway;1917-04-02;0;C.J. Hansens Vei;3b;2007;Kjeller
354;KV Mechelen;Belgium;1904-10-01;0;Kleine Nieuwedijk;53;2800;Mechelen
355;Bolton Wanderers;England;1874-01-01;9;Reebok Stadium, Burnden;Way;BL6;6JW
358;Charlton Athletic;England;1905-01-01;8;Floyd;Road;SE7;8BL
362;Akademisk Boldklub;Denmark;1889-02-26;0;Gladsaxevej;200;2860;Søborg
365;Spartak Trnava;Slovakia;1923-05-30;0;Koniarekova;19;917;21
368;Sevilla FC;Spain;1890-01-25;0;Calle Sevilla Fútbol;Club;41005;Sevilla
369;Lyngby BK;Denmark;1921-03-30;0;Lundtoftevej;61;2800;Kgs.
370;Aberdeen FC;Scotland;1903-04-14;0;Pittodrie;Street;AB24;5QH
371;Celtic FC;Scotland;1887-11-06;0;Celtic;Park;G40;3RE
377;FC Banik Ostrava;Czech Republic;1922-09-08;0;Bukovanského;4/1028;710;00
379;West Ham United;England;1895-01-01;13;London Stadium, Queen Elizabeth Olympic;;E20;2ST
383;PSV Eindhoven;Netherlands;1913-08-31;0;Fredriklaan;10a;5616;NH
395;FC Linz;Austria;1945-11-30;0;;;;
398;SS Lazio;Italy;1900-01-09;0;Via di Santa Cornelia;1000;00060;Roma
399;Leeds United;England;1919-10-17;12;Elland Road ;;LS11;0ES
403;Willem II Tilburg;Netherlands;1896-08-12;0;Goirleseweg;34;5026;PC
405;Aston Villa;England;1874-03-01;16;Villa;Park;B6;6HE
409;Red Bull Salzburg;Austria;1933-09-13;0;Stadionstraße;1/3;5071;Wals-Siezenheim
410;Udinese Calcio;Italy;1896-07-05;0;Via A. e A. Candolini;2;33100;Udine
413;LASK;Austria;1908-08-01;0;Poststraße;38;4061;Pasching
416;Torino FC;Italy;1906-12-03;0;Via Arcivescovado;1;10122;Torino
417;OGC Nice;France;1904-07-09;0;177, Route de;Grenoble;06200;Nice
418;Real Madrid;Spain;1902-03-06;3;Avenida de Concha Espina;1;28036;Madrid
419;GNK Dinamo Zagreb;Croatia;1911-04-26;0;Maksimirska;128;10000;Zagreb
422;Wisla Kraków;Poland;1906-09-01;0;Reymonta;20;30-059;Kraków
428;Górnik Zabrze;Poland;1948-12-14;0;ul. Roosevelta;81;41-800;Zabrze
429;Apollon Limassol;Cyprus;1954-04-14;0;P.O.Box 53206, 3301 Glastonos;93;3032;Limassol
430;ACF Fiorentina;Italy;1926-08-29;0;Viale Manfredo Fanti,;4;50137;Firenze
434;FC Luzern;Switzerland;1901-04-13;0;Horwerstrasse;34;6002;Luzern
443;Vejle Boldklub;Denmark;1891-05-03;0;Roms Hule;6;7100;Vejle
447;HNK Hajduk Split;Croatia;1911-02-13;0;8. Mediteranskih igara;2;21000;Split
448;FK Vojvodina Novi Sad;Serbia;1914-03-06;0;Dimitrija Tucovića;1;21000;Novi
449;Trabzonspor;Turkey;1967-08-02;0;Üniver. Mh. A.Suat Özyazıcı Cd.;No:31-35;61000;Trabzon
450;FK Dukla Prag;Czech Republic;1947-11-30;0;Na Julisce;28;160;00
452;BSC Young Boys;Switzerland;1898-03-14;0;Papiermühlestrasse;77;3000;Bern
455;FC Rapid 1923;Romania;1923-06-25;0;Bd. Lacul Tei, nr. 1-3, et. 5, sector;2;20371;Bukarest
459;FC 08 Homburg;Germany;1908-08-01;3;Rondell;4;66424;Homburg
468;Sparta Rotterdam;Netherlands;1888-04-01;0;Spartapark Noord;1;3027;VW
496;Malmö FF;Sweden;1910-02-24;0;Box;19067;20073;Malmö
504;Grasshopper Club Zurich;Switzerland;1886-09-01;0;Dielsdorferstrasse;165;8155;Niederhasli
506;Juventus FC;Italy;1897-11-01;1;Corso Galileo Ferraris;32;10128;Torino
511;Dundee FC;Scotland;1893-05-20;0;Sandeman Street;;DD3;7JY
512;Stoke City;England;1863-01-01;0;Stanley Matthews;Way;ST4;4EG
527;FC Lausanne-Sport;Switzerland;1896-09-01;0;Case postale;175;1018;Lausanne
533;TSG 1899 Hoffenheim;Germany;1899-07-01;0;Horrenberger Straße;58;74939;Zuzenhausen
540;Slovan Bratislava;Slovakia;1919-05-03;0;Viktora Tegelhoffa;4;831;04
543;Wolverhampton Wanderers;England;1877-01-13;1;Waterloo;Road;WV14QR;Wolverhampton
583;Paris Saint-Germain;France;1970-08-12;0;24 rue du;Commandant-Guilbaud;75016;Paris
588;FK Dinamo Tirana;Albania;1950-07-19;0;;;;
602;Zalgiris Vilnius;Lithuania;1947-05-16;0;Olimpieciu g.;17;09237;Vilnius
603;Cardiff City;Wales;1899-01-01;0;Sloper;Road;CF11;8SX
610;Ajax Amsterdam;Netherlands;1900-03-18;1;Arena Boulevard 29;b;1101;AX
